age,insured_sex,insured_education_level,insured_occupation,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,injury_claim,property_claim,vehicle_claim,fraud_reported
39,FEMALE,High School,machine-op-inspct,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,14,4510,9020,40590,N
49,MALE,MD,machine-op-inspct,Multi-vehicle Collision,Side Collision,Major Damage,Other,16,11580,11580,46320,N
43,FEMALE,Masters,adm-clerical,Single Vehicle Collision,Rear Collision,Minor Damage,Police,12,10300,10300,46350,N
47,FEMALE,Associate,armed-forces,Multi-vehicle Collision,Rear Collision,Major Damage,Other,1,12820,6410,44870,Y
46,MALE,PhD,prof-specialty,Single Vehicle Collision,Rear Collision,Minor Damage,Other,19,13380,13380,53520,N
44,MALE,Associate,machine-op-inspct,Vehicle Theft,0,Trivial Damage,Police,7,520,0,4160,N
32,MALE,College,tech-support,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,6,6620,6620,26480,N
58,MALE,MD,exec-managerial,Single Vehicle Collision,Front Collision,Major Damage,Police,11,5780,5780,52020,Y
49,FEMALE,PhD,craft-repair,Single Vehicle Collision,Side Collision,Minor Damage,Other,2,13340,6670,53360,N
29,FEMALE,JD,craft-repair,Single Vehicle Collision,Side Collision,Minor Damage,Police,15,7890,23670,55230,N
39,MALE,Masters,tech-support,Single Vehicle Collision,Side Collision,Major Damage,Police,0,9960,4980,34860,N
38,FEMALE,Associate,armed-forces,Single Vehicle Collision,Side Collision,Major Damage,Other,12,7040,14080,56320,N
48,FEMALE,PhD,handlers-cleaners,Single Vehicle Collision,Front Collision,Total Loss,Other,1,8580,0,34320,N
26,FEMALE,JD,farming-fishing,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,16,11960,5980,35880,Y
46,MALE,MD,sales,Single Vehicle Collision,Rear Collision,Minor Damage,Police,2,12740,6370,38220,N
24,FEMALE,PhD,tech-support,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,13,5930,5930,41510,N
29,MALE,High School,prof-specialty,Single Vehicle Collision,Front Collision,Minor Damage,Police,0,9680,14520,38720,N
24,FEMALE,High School,machine-op-inspct,Multi-vehicle Collision,Front Collision,Total Loss,Fire,0,6160,12320,43120,N
30,MALE,College,sales,Multi-vehicle Collision,Rear Collision,Total Loss,Police,16,6180,12360,55620,N
38,MALE,High School,priv-house-serv,Single Vehicle Collision,Rear Collision,Total Loss,Police,8,8900,8900,62300,N
48,FEMALE,JD,sales,Parked Car,0,Trivial Damage,Police,9,820,820,4920,N
34,MALE,JD,other-service,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,11,11760,5880,41160,N
38,FEMALE,College,transport-moving,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,6,11940,5970,35820,Y
60,FEMALE,College,other-service,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,18,5050,10100,45450,N
48,FEMALE,JD,tech-support,Single Vehicle Collision,Side Collision,Total Loss,Other,11,6500,3250,26000,N
27,FEMALE,College,adm-clerical,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,17,3570,7140,32130,N
39,MALE,High School,armed-forces,Multi-vehicle Collision,Front Collision,Major Damage,Fire,21,14660,14660,58640,Y
41,MALE,JD,protective-serv,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,0,4780,4780,38240,N
43,FEMALE,Associate,tech-support,Vehicle Theft,0,Trivial Damage,Police,9,640,640,2560,N
43,MALE,JD,transport-moving,Single Vehicle Collision,Front Collision,Total Loss,Fire,1,14000,7000,56000,N
26,FEMALE,PhD,farming-fishing,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,22,16020,16020,56070,N
42,MALE,College,farming-fishing,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,20,4340,4340,39060,N
30,FEMALE,MD,craft-repair,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,9,5360,10720,42880,N
46,FEMALE,Associate,tech-support,Parked Car,0,Minor Damage,Police,5,480,240,1440,N
26,FEMALE,JD,prof-specialty,Vehicle Theft,0,Trivial Damage,Police,12,530,1060,5300,N
45,FEMALE,High School,prof-specialty,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,6,7170,14340,57360,N
47,FEMALE,Masters,sales,Vehicle Theft,0,Trivial Damage,Police,8,300,300,2100,N
54,FEMALE,Associate,machine-op-inspct,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,14,6330,6330,63300,N
34,FEMALE,High School,sales,Single Vehicle Collision,Front Collision,Major Damage,Police,10,6870,13740,54960,Y
48,FEMALE,Masters,sales,Single Vehicle Collision,Front Collision,Minor Damage,Police,12,15040,15040,60160,N
53,FEMALE,College,prof-specialty,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,12,14720,7360,58880,N
38,MALE,PhD,craft-repair,Multi-vehicle Collision,Front Collision,Total Loss,Other,12,6590,13180,59310,N
49,MALE,JD,adm-clerical,Vehicle Theft,0,Minor Damage,0,13,1240,620,4960,N
42,FEMALE,PhD,armed-forces,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,17,5690,11380,45520,N
23,FEMALE,College,sales,Single Vehicle Collision,Side Collision,Major Damage,Other,14,6550,6550,39300,Y
46,MALE,MD,tech-support,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,5780,11560,46240,N
55,FEMALE,Associate,priv-house-serv,Multi-vehicle Collision,Side Collision,Minor Damage,Police,18,6140,6140,49120,N
63,MALE,High School,adm-clerical,Parked Car,0,Minor Damage,0,5,940,470,3290,Y
44,FEMALE,College,prof-specialty,Single Vehicle Collision,Front Collision,Total Loss,Fire,19,13480,13480,47180,N
30,FEMALE,PhD,other-service,Single Vehicle Collision,Front Collision,Major Damage,Other,0,6930,13860,62370,N
41,FEMALE,JD,farming-fishing,Parked Car,0,Trivial Damage,Police,22,1660,830,8300,N
31,FEMALE,MD,prof-specialty,Multi-vehicle Collision,Rear Collision,Major Damage,Police,21,8740,8740,30590,N
25,FEMALE,Masters,protective-serv,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,4,5670,11340,34020,N
40,MALE,MD,prof-specialty,Single Vehicle Collision,Front Collision,Minor Damage,Fire,10,0,5410,37870,Y
29,FEMALE,Associate,sales,Single Vehicle Collision,Front Collision,Major Damage,Fire,5,15280,7640,53480,N
43,MALE,MD,prof-specialty,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,13,13720,13720,48020,N
50,MALE,MD,armed-forces,Multi-vehicle Collision,Side Collision,Major Damage,Other,18,13800,6900,48300,Y
38,MALE,JD,tech-support,Vehicle Theft,0,Minor Damage,Police,6,1440,720,6480,N
29,MALE,PhD,armed-forces,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,0,12220,12220,42770,N
37,MALE,High School,transport-moving,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,5,4250,4250,34000,N
53,MALE,Associate,armed-forces,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,8,14400,7200,64800,N
51,MALE,Masters,handlers-cleaners,Vehicle Theft,0,Minor Damage,Police,5,840,840,2940,Y
53,FEMALE,High School,tech-support,Parked Car,0,Trivial Damage,Police,9,630,1260,5040,N
40,FEMALE,JD,sales,Multi-vehicle Collision,Side Collision,Minor Damage,Other,10,8340,8340,25020,N
51,MALE,Masters,transport-moving,Single Vehicle Collision,Rear Collision,Major Damage,Other,16,14060,14060,49210,Y
35,MALE,College,other-service,Vehicle Theft,0,Trivial Damage,Police,8,900,450,3600,N
26,MALE,PhD,craft-repair,Vehicle Theft,0,Minor Damage,Police,5,860,860,3440,N
35,FEMALE,College,exec-managerial,Multi-vehicle Collision,Side Collision,Total Loss,Fire,11,2730,2730,19110,Y
38,FEMALE,PhD,craft-repair,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,15,4880,9760,39040,N
49,MALE,Masters,farming-fishing,Multi-vehicle Collision,Side Collision,Total Loss,Police,23,3900,3900,35100,N
41,MALE,MD,protective-serv,Single Vehicle Collision,Front Collision,Minor Damage,Fire,23,16820,8410,58870,Y
27,FEMALE,College,adm-clerical,Single Vehicle Collision,Front Collision,Total Loss,Fire,23,6840,6840,47880,N
39,FEMALE,Associate,other-service,Single Vehicle Collision,Rear Collision,Minor Damage,Police,10,5530,5530,33180,N
33,FEMALE,JD,protective-serv,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,12,11540,5770,40390,N
50,FEMALE,PhD,exec-managerial,Single Vehicle Collision,Side Collision,Minor Damage,Other,4,16620,16620,74790,N
30,FEMALE,High School,exec-managerial,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,16,10860,5430,38010,N
54,MALE,High School,craft-repair,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,18,5380,5380,21520,Y
42,MALE,JD,machine-op-inspct,Multi-vehicle Collision,Rear Collision,Total Loss,Other,15,16920,8460,59220,N
35,MALE,College,craft-repair,Single Vehicle Collision,Front Collision,Total Loss,Other,8,6970,6970,55760,N
33,MALE,JD,prof-specialty,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,4,3640,7280,25480,N
39,FEMALE,JD,adm-clerical,Multi-vehicle Collision,Side Collision,Minor Damage,Police,20,4690,4690,28140,N
33,FEMALE,Masters,other-service,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,1,14380,14380,50330,N
54,MALE,JD,farming-fishing,Single Vehicle Collision,Rear Collision,Major Damage,Other,19,7530,15060,45180,Y
32,MALE,JD,tech-support,Single Vehicle Collision,Side Collision,Total Loss,Other,11,9480,4740,33180,Y
40,MALE,PhD,other-service,Single Vehicle Collision,Front Collision,Total Loss,Other,13,7110,14220,49770,N
46,MALE,MD,other-service,Single Vehicle Collision,Front Collision,Minor Damage,Police,2,13880,6940,48580,N
39,MALE,High School,transport-moving,Multi-vehicle Collision,Rear Collision,Major Damage,Other,9,5000,10000,40000,Y
52,MALE,PhD,machine-op-inspct,Multi-vehicle Collision,Rear Collision,Total Loss,Police,15,7860,7860,35370,N
34,MALE,PhD,machine-op-inspct,Single Vehicle Collision,Side Collision,Major Damage,Fire,23,6420,19260,38520,Y
45,MALE,High School,sales,Single Vehicle Collision,Front Collision,Total Loss,Other,16,12240,12240,42840,N
31,MALE,Associate,protective-serv,Multi-vehicle Collision,Side Collision,Major Damage,Other,21,6920,13840,55360,N
28,FEMALE,JD,farming-fishing,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,21,13080,13080,58860,N
41,MALE,Masters,protective-serv,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,3,12380,12380,43330,N
27,FEMALE,High School,priv-house-serv,Parked Car,0,Trivial Damage,Police,4,670,670,4690,N
35,MALE,MD,machine-op-inspct,Vehicle Theft,0,Minor Damage,0,17,1020,510,3570,N
30,MALE,College,sales,Vehicle Theft,0,Trivial Damage,Police,7,510,510,3570,N
59,FEMALE,JD,exec-managerial,Multi-vehicle Collision,Front Collision,Major Damage,Other,14,7240,14480,50680,Y
64,MALE,Masters,other-service,Single Vehicle Collision,Front Collision,Major Damage,Fire,13,14180,7090,49630,N
25,FEMALE,Associate,priv-house-serv,Multi-vehicle Collision,Side Collision,Total Loss,Other,23,6510,6510,52080,N
40,FEMALE,College,handlers-cleaners,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,23,0,14280,49980,N
43,FEMALE,Associate,armed-forces,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,16,7270,21810,50890,Y
41,FEMALE,College,machine-op-inspct,Single Vehicle Collision,Rear Collision,Total Loss,Police,17,6290,6290,44030,N
30,FEMALE,JD,craft-repair,Single Vehicle Collision,Side Collision,Major Damage,Fire,9,7690,7690,69210,Y
38,MALE,High School,sales,Multi-vehicle Collision,Side Collision,Major Damage,Fire,13,7420,14840,44520,N
36,MALE,JD,farming-fishing,Single Vehicle Collision,Rear Collision,Major Damage,Police,13,0,6500,52000,N
41,FEMALE,College,prof-specialty,Parked Car,0,Trivial Damage,Police,3,500,500,4000,N
29,FEMALE,JD,priv-house-serv,Parked Car,0,Trivial Damage,Police,3,500,1000,3500,Y
41,FEMALE,High School,sales,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,16,6050,12100,36300,N
38,FEMALE,Masters,handlers-cleaners,Multi-vehicle Collision,Front Collision,Major Damage,Police,12,6880,6880,48160,N
29,MALE,High School,exec-managerial,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,4,4370,4370,34960,Y
31,MALE,Masters,machine-op-inspct,Single Vehicle Collision,Front Collision,Minor Damage,Other,3,7120,7120,49840,N
35,MALE,JD,sales,Single Vehicle Collision,Rear Collision,Total Loss,Other,0,10000,10000,35000,Y
27,FEMALE,Masters,adm-clerical,Vehicle Theft,0,Trivial Damage,Police,19,0,550,3850,N
27,MALE,JD,armed-forces,Multi-vehicle Collision,Side Collision,Minor Damage,Police,15,5970,11940,53730,N
44,MALE,High School,machine-op-inspct,Single Vehicle Collision,Rear Collision,Minor Damage,Other,6,6860,6860,48020,N
27,FEMALE,Associate,priv-house-serv,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,3,5750,5750,46000,N
39,FEMALE,Masters,exec-managerial,Parked Car,0,Minor Damage,Police,17,870,1740,6090,N
46,FEMALE,MD,adm-clerical,Multi-vehicle Collision,Front Collision,Total Loss,Police,4,15420,7710,53970,N
57,MALE,Masters,priv-house-serv,Single Vehicle Collision,Front Collision,Minor Damage,Police,14,6600,6600,46200,N
46,MALE,Masters,machine-op-inspct,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,3,9980,4990,39920,N
30,MALE,MD,exec-managerial,Multi-vehicle Collision,Front Collision,Minor Damage,Other,4,6730,13460,53840,N
42,FEMALE,Associate,adm-clerical,Single Vehicle Collision,Rear Collision,Total Loss,Other,13,11180,11180,39130,N
27,MALE,High School,handlers-cleaners,Multi-vehicle Collision,Front Collision,Minor Damage,Police,23,6630,13260,59670,N
33,MALE,MD,sales,Parked Car,0,Minor Damage,Police,3,490,490,3920,N
34,MALE,High School,tech-support,Multi-vehicle Collision,Side Collision,Total Loss,Other,0,14140,14140,49490,N
43,FEMALE,JD,transport-moving,Multi-vehicle Collision,Side Collision,Major Damage,Fire,14,7470,14940,52290,Y
26,MALE,MD,tech-support,Multi-vehicle Collision,Front Collision,Minor Damage,Police,14,4060,4060,32480,N
28,MALE,JD,farming-fishing,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,22,10060,10060,25150,N
36,FEMALE,Associate,machine-op-inspct,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,17,4280,8560,34240,N
57,FEMALE,MD,machine-op-inspct,Single Vehicle Collision,Side Collision,Minor Damage,Police,14,4070,4070,32560,Y
27,FEMALE,Masters,transport-moving,Single Vehicle Collision,Side Collision,Minor Damage,Police,2,6300,3150,25200,N
28,MALE,MD,protective-serv,Parked Car,0,Trivial Damage,Police,4,400,400,2400,N
42,MALE,High School,machine-op-inspct,Single Vehicle Collision,Rear Collision,Major Damage,Fire,2,7180,14360,57440,Y
31,MALE,Associate,sales,Parked Car,0,Minor Damage,0,10,560,1120,4480,N
60,FEMALE,MD,machine-op-inspct,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,11,15500,7750,62000,N
50,MALE,Masters,sales,Multi-vehicle Collision,Side Collision,Major Damage,Fire,1,12140,6070,54630,N
40,MALE,Associate,exec-managerial,Parked Car,0,Trivial Damage,Police,20,1100,1100,3850,N
39,FEMALE,JD,protective-serv,Single Vehicle Collision,Front Collision,Major Damage,Fire,10,15980,7990,63920,Y
47,FEMALE,High School,craft-repair,Multi-vehicle Collision,Side Collision,Total Loss,Other,20,11000,5500,44000,Y
35,FEMALE,MD,machine-op-inspct,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,10,16040,16040,56140,N
37,FEMALE,Associate,prof-specialty,Multi-vehicle Collision,Rear Collision,Total Loss,Other,2,9760,4880,39040,N
45,MALE,Masters,transport-moving,Single Vehicle Collision,Front Collision,Minor Damage,Fire,19,5380,5380,43040,N
29,FEMALE,MD,craft-repair,Single Vehicle Collision,Rear Collision,Major Damage,Police,10,4530,9060,40770,Y
35,FEMALE,Masters,handlers-cleaners,Single Vehicle Collision,Side Collision,Major Damage,Police,14,9880,4940,39520,N
35,FEMALE,High School,craft-repair,Parked Car,0,Trivial Damage,0,5,520,260,2080,Y
28,MALE,High School,craft-repair,Vehicle Theft,0,Minor Damage,Police,8,0,1220,4270,N
45,MALE,Masters,craft-repair,Vehicle Theft,0,Trivial Damage,Police,4,670,1340,5360,N
34,FEMALE,PhD,priv-house-serv,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,4,5080,5080,40640,Y
48,MALE,Associate,adm-clerical,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,20,5190,5190,31140,N
38,FEMALE,Masters,armed-forces,Single Vehicle Collision,Side Collision,Total Loss,Police,18,8150,16300,65200,N
55,FEMALE,JD,other-service,Multi-vehicle Collision,Rear Collision,Total Loss,Police,0,0,0,39690,N
32,FEMALE,High School,exec-managerial,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,1,5660,5660,50940,N
38,FEMALE,Masters,prof-specialty,Single Vehicle Collision,Side Collision,Major Damage,Police,17,9440,4720,37760,Y
40,MALE,College,armed-forces,Single Vehicle Collision,Front Collision,Minor Damage,Other,23,9720,4860,38880,N
43,FEMALE,MD,adm-clerical,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,4,5710,5710,45680,N
36,MALE,High School,exec-managerial,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,0,14080,7040,56320,N
40,MALE,College,craft-repair,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,11,6830,13660,47810,N
32,MALE,Associate,other-service,Parked Car,0,Trivial Damage,0,4,460,920,3680,N
32,MALE,MD,tech-support,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,0,6600,13200,39600,Y
31,FEMALE,High School,transport-moving,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,2,0,15540,54390,Y
27,FEMALE,College,handlers-cleaners,Multi-vehicle Collision,Front Collision,Minor Damage,Police,11,7770,15540,54390,N
54,MALE,College,prof-specialty,Multi-vehicle Collision,Front Collision,Major Damage,Other,23,12500,12500,43750,Y
29,FEMALE,High School,adm-clerical,Multi-vehicle Collision,Side Collision,Minor Damage,Police,17,16560,16560,57960,N
20,FEMALE,High School,craft-repair,Single Vehicle Collision,Side Collision,Minor Damage,Other,22,4030,8060,36270,N
34,MALE,Associate,handlers-cleaners,Single Vehicle Collision,Side Collision,Major Damage,Other,18,9500,9500,76000,N
32,MALE,Associate,machine-op-inspct,Vehicle Theft,0,Trivial Damage,Police,8,780,390,2730,N
39,MALE,High School,transport-moving,Multi-vehicle Collision,Front Collision,Minor Damage,Other,15,11880,5940,41580,Y
43,FEMALE,Associate,machine-op-inspct,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,20,6690,6690,46830,N
32,MALE,JD,sales,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,4,8720,4360,30520,N
57,MALE,College,adm-clerical,Multi-vehicle Collision,Front Collision,Total Loss,Police,10,6280,12560,43960,N
48,MALE,College,farming-fishing,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,10,11900,5950,41650,N
37,FEMALE,PhD,armed-forces,Multi-vehicle Collision,Front Collision,Total Loss,Police,22,5940,5940,41580,N
33,FEMALE,High School,adm-clerical,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,15,7580,7580,26530,N
46,FEMALE,Masters,prof-specialty,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,13,6310,12620,44170,N
60,MALE,Associate,priv-house-serv,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,23,5240,10480,47160,Y
51,FEMALE,Masters,sales,Multi-vehicle Collision,Side Collision,Major Damage,Fire,18,17400,11600,46400,Y
40,MALE,JD,machine-op-inspct,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,7,4200,8400,33600,N
47,MALE,Masters,machine-op-inspct,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,21,5850,5850,46800,N
57,MALE,JD,transport-moving,Multi-vehicle Collision,Rear Collision,Major Damage,Other,15,11040,11040,44160,N
36,FEMALE,MD,craft-repair,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,17,8180,8180,49080,N
43,MALE,Masters,sales,Single Vehicle Collision,Front Collision,Minor Damage,Fire,2,10700,10700,42800,N
25,FEMALE,Masters,other-service,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,1,4040,4040,24240,N
28,FEMALE,College,farming-fishing,Single Vehicle Collision,Rear Collision,Major Damage,Police,3,3720,3720,26040,N
38,MALE,College,adm-clerical,Vehicle Theft,0,Trivial Damage,0,0,480,960,2880,N
29,MALE,High School,tech-support,Vehicle Theft,0,Trivial Damage,Police,4,840,420,2940,N
29,MALE,MD,adm-clerical,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,11,10540,5270,42160,N
31,MALE,JD,other-service,Parked Car,0,Trivial Damage,0,4,0,960,3360,N
45,FEMALE,High School,machine-op-inspct,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,11,13860,6930,48510,N
30,FEMALE,Masters,farming-fishing,Multi-vehicle Collision,Side Collision,Minor Damage,Police,4,4060,4060,24360,N
38,MALE,MD,machine-op-inspct,Single Vehicle Collision,Front Collision,Total Loss,Police,20,6720,6720,47040,N
38,MALE,Associate,armed-forces,Parked Car,0,Trivial Damage,Police,22,440,440,1760,N
27,MALE,JD,other-service,Parked Car,0,Trivial Damage,Police,4,550,1100,4400,N
43,MALE,High School,handlers-cleaners,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,4270,4270,34160,Y
47,MALE,College,prof-specialty,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,20,3660,7320,29280,Y
50,MALE,Masters,priv-house-serv,Single Vehicle Collision,Rear Collision,Major Damage,Fire,7,5000,10000,35000,N
35,FEMALE,High School,tech-support,Parked Car,0,Trivial Damage,0,4,640,320,2880,N
41,MALE,JD,transport-moving,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,17,13700,20550,61650,N
47,MALE,High School,exec-managerial,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,20,6240,12480,37440,N
42,MALE,PhD,armed-forces,Single Vehicle Collision,Side Collision,Major Damage,Police,10,5730,11460,45840,N
41,FEMALE,PhD,handlers-cleaners,Single Vehicle Collision,Front Collision,Minor Damage,Police,8,5770,11540,46160,N
38,FEMALE,High School,tech-support,Single Vehicle Collision,Front Collision,Major Damage,Police,6,8080,4040,32320,Y
35,MALE,JD,prof-specialty,Parked Car,0,Minor Damage,Police,4,1200,1200,4200,N
36,MALE,PhD,machine-op-inspct,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,17,9650,9650,57900,N
30,FEMALE,High School,protective-serv,Multi-vehicle Collision,Rear Collision,Total Loss,Other,15,0,11400,45600,N
45,FEMALE,Masters,farming-fishing,Vehicle Theft,0,Trivial Damage,Police,9,300,300,2100,N
36,MALE,College,transport-moving,Single Vehicle Collision,Rear Collision,Total Loss,Police,17,4300,8600,34400,N
37,FEMALE,Associate,tech-support,Single Vehicle Collision,Rear Collision,Major Damage,Other,13,5010,10020,40080,N
31,FEMALE,Associate,other-service,Vehicle Theft,0,Trivial Damage,Police,5,480,480,3360,N
38,FEMALE,Masters,transport-moving,Multi-vehicle Collision,Front Collision,Total Loss,Police,23,11460,5730,51570,Y
31,FEMALE,MD,tech-support,Multi-vehicle Collision,Front Collision,Major Damage,Other,1,14880,7440,52080,Y
33,FEMALE,Associate,exec-managerial,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,17,3530,3530,28240,Y
57,MALE,High School,tech-support,Parked Car,0,Minor Damage,0,3,480,480,1680,N
41,MALE,High School,sales,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,17,4630,9260,46300,Y
39,FEMALE,Masters,machine-op-inspct,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,23,3780,7560,30240,Y
45,FEMALE,JD,tech-support,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,13,11700,0,46800,Y
43,FEMALE,Masters,handlers-cleaners,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,17,13220,6610,59490,N
33,FEMALE,High School,farming-fishing,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,2,7510,7510,67590,Y
41,FEMALE,MD,priv-house-serv,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,23,13100,19650,45850,Y
46,MALE,College,handlers-cleaners,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,17,5710,5710,39970,Y
44,MALE,Associate,other-service,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,3,7020,7020,56160,Y
30,MALE,JD,protective-serv,Parked Car,0,Minor Damage,0,16,490,1470,2940,N
62,FEMALE,MD,protective-serv,Multi-vehicle Collision,Side Collision,Major Damage,Other,13,5540,11080,49860,Y
23,MALE,High School,transport-moving,Single Vehicle Collision,Rear Collision,Major Damage,Fire,8,4580,9160,36640,Y
61,FEMALE,Masters,handlers-cleaners,Single Vehicle Collision,Front Collision,Major Damage,Fire,23,9900,9900,44550,N
29,MALE,College,prof-specialty,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,15,5540,11080,38780,Y
28,MALE,MD,prof-specialty,Single Vehicle Collision,Front Collision,Total Loss,Other,3,4990,9980,34930,N
28,MALE,Masters,priv-house-serv,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,4,12480,12480,49920,N
44,FEMALE,Masters,exec-managerial,Single Vehicle Collision,Front Collision,Minor Damage,Other,8,16280,16280,73260,N
43,MALE,Associate,prof-specialty,Vehicle Theft,0,Trivial Damage,Police,21,1300,650,5200,N
58,MALE,Associate,craft-repair,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,23,11160,11160,33480,N
34,MALE,Masters,sales,Parked Car,0,Trivial Damage,0,8,1060,1060,3710,N
41,FEMALE,Associate,handlers-cleaners,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,21,17180,17180,51540,Y
29,MALE,Associate,prof-specialty,Parked Car,0,Minor Damage,Police,5,790,1580,4740,N
43,MALE,PhD,prof-specialty,Multi-vehicle Collision,Side Collision,Total Loss,Fire,12,6720,3360,26880,N
39,FEMALE,College,tech-support,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,7,6440,6440,51520,N
43,MALE,PhD,adm-clerical,Parked Car,0,Minor Damage,0,0,480,0,1440,N
22,MALE,JD,farming-fishing,Single Vehicle Collision,Rear Collision,Major Damage,Police,14,15660,7830,62640,Y
32,FEMALE,College,protective-serv,Single Vehicle Collision,Side Collision,Major Damage,Fire,13,14940,7470,59760,Y
41,FEMALE,College,farming-fishing,Single Vehicle Collision,Front Collision,Major Damage,Fire,1,10060,5030,35210,Y
31,FEMALE,MD,prof-specialty,Single Vehicle Collision,Side Collision,Major Damage,Police,23,4420,8840,30940,N
43,FEMALE,High School,transport-moving,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,1,6060,6060,54540,N
26,FEMALE,Associate,prof-specialty,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,9,7120,14240,56960,N
34,FEMALE,PhD,craft-repair,Single Vehicle Collision,Rear Collision,Total Loss,Fire,3,16160,16160,72720,N
43,MALE,JD,adm-clerical,Single Vehicle Collision,Side Collision,Minor Damage,Fire,0,5070,5070,40560,N
45,FEMALE,MD,exec-managerial,Multi-vehicle Collision,Front Collision,Total Loss,Fire,13,11380,5690,34140,N
48,MALE,JD,other-service,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,18,8640,8640,34560,N
33,FEMALE,High School,exec-managerial,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,17,5280,5280,42240,N
